1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B000000398E6B21
Is Mission Active?  true
Mission Start:  Sat Jul 23 05:36:00 CAST 2022
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  3331
Total Samples:  78753
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Sun Jul 31 00:00:00 CAST 2022
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/23/22, 10:16:00 AM,C,28.5
7/23/22, 10:18:00 AM,C,29
7/23/22, 10:20:00 AM,C,30
7/23/22, 10:22:00 AM,C,30.5
7/23/22, 10:24:00 AM,C,29.5
7/23/22, 10:26:00 AM,C,28.5
7/23/22, 10:28:00 AM,C,28.5
7/23/22, 10:30:00 AM,C,29.5
7/23/22, 10:32:00 AM,C,30.5
7/23/22, 10:34:00 AM,C,31.5
7/23/22, 10:36:00 AM,C,32
7/23/22, 10:38:00 AM,C,33
7/23/22, 10:40:00 AM,C,33.5
7/23/22, 10:42:00 AM,C,34
7/23/22, 10:44:00 AM,C,34.5
7/23/22, 10:46:00 AM,C,34.5
7/23/22, 10:48:00 AM,C,34.5
7/23/22, 10:50:00 AM,C,34
7/23/22, 10:52:00 AM,C,34.5
7/23/22, 10:54:00 AM,C,35
7/23/22, 10:56:00 AM,C,35.5
7/23/22, 10:58:00 AM,C,35.5
7/23/22, 11:00:00 AM,C,36
7/23/22, 11:02:00 AM,C,36
7/23/22, 11:04:00 AM,C,36
7/23/22, 11:06:00 AM,C,36.5
7/23/22, 11:08:00 AM,C,37
7/23/22, 11:10:00 AM,C,37.5
7/23/22, 11:12:00 AM,C,37.5
7/23/22, 11:14:00 AM,C,37.5
7/23/22, 11:16:00 AM,C,38
7/23/22, 11:18:00 AM,C,38.5
7/23/22, 11:20:00 AM,C,39
7/23/22, 11:22:00 AM,C,39
7/23/22, 11:24:00 AM,C,39
7/23/22, 11:26:00 AM,C,39
7/23/22, 11:28:00 AM,C,39.5
7/23/22, 11:30:00 AM,C,39.5
7/23/22, 11:32:00 AM,C,39.5
7/23/22, 11:34:00 AM,C,39.5
7/23/22, 11:36:00 AM,C,39.5
7/23/22, 11:38:00 AM,C,40
7/23/22, 11:40:00 AM,C,40
7/23/22, 11:42:00 AM,C,40
7/23/22, 11:44:00 AM,C,40
7/23/22, 11:46:00 AM,C,40
7/23/22, 11:48:00 AM,C,40
7/23/22, 11:50:00 AM,C,40
7/23/22, 11:52:00 AM,C,40
7/23/22, 11:54:00 AM,C,40
7/23/22, 11:56:00 AM,C,39.5
7/23/22, 11:58:00 AM,C,40
7/23/22, 12:00:00 PM,C,40
7/23/22, 12:02:00 PM,C,40
7/23/22, 12:04:00 PM,C,40
7/23/22, 12:06:00 PM,C,40
7/23/22, 12:08:00 PM,C,40
7/23/22, 12:10:00 PM,C,40.5
7/23/22, 12:12:00 PM,C,40.5
7/23/22, 12:14:00 PM,C,40.5
7/23/22, 12:16:00 PM,C,40
7/23/22, 12:18:00 PM,C,40
7/23/22, 12:20:00 PM,C,40.5
7/23/22, 12:22:00 PM,C,41
7/23/22, 12:24:00 PM,C,40.5
7/23/22, 12:26:00 PM,C,41
7/23/22, 12:28:00 PM,C,41
7/23/22, 12:30:00 PM,C,41.5
7/23/22, 12:32:00 PM,C,41.5
7/23/22, 12:34:00 PM,C,41.5
7/23/22, 12:36:00 PM,C,41.5
7/23/22, 12:38:00 PM,C,41.5
7/23/22, 12:40:00 PM,C,42
7/23/22, 12:42:00 PM,C,42
7/23/22, 12:44:00 PM,C,42
7/23/22, 12:46:00 PM,C,41.5
7/23/22, 12:48:00 PM,C,41.5
7/23/22, 12:50:00 PM,C,41.5
7/23/22, 12:52:00 PM,C,41.5
7/23/22, 12:54:00 PM,C,41.5
7/23/22, 12:56:00 PM,C,41.5
7/23/22, 12:58:00 PM,C,41.5
7/23/22, 1:00:00 PM,C,41.5
7/23/22, 1:02:00 PM,C,41.5
7/23/22, 1:04:00 PM,C,42
7/23/22, 1:06:00 PM,C,42
7/23/22, 1:08:00 PM,C,42.5
7/23/22, 1:10:00 PM,C,42.5
7/23/22, 1:12:00 PM,C,42.5
7/23/22, 1:14:00 PM,C,42.5
7/23/22, 1:16:00 PM,C,43
7/23/22, 1:18:00 PM,C,43
7/23/22, 1:20:00 PM,C,42.5
7/23/22, 1:22:00 PM,C,43
7/23/22, 1:24:00 PM,C,43
7/23/22, 1:26:00 PM,C,43
7/23/22, 1:28:00 PM,C,43
7/23/22, 1:30:00 PM,C,43
7/23/22, 1:32:00 PM,C,42.5
7/23/22, 1:34:00 PM,C,42.5
7/23/22, 1:36:00 PM,C,42.5
7/23/22, 1:38:00 PM,C,42.5
7/23/22, 1:40:00 PM,C,43
7/23/22, 1:42:00 PM,C,42.5
7/23/22, 1:44:00 PM,C,43
7/23/22, 1:46:00 PM,C,43
7/23/22, 1:48:00 PM,C,43.5
7/23/22, 1:50:00 PM,C,43.5
7/23/22, 1:52:00 PM,C,43.5
7/23/22, 1:54:00 PM,C,43.5
7/23/22, 1:56:00 PM,C,44
7/23/22, 1:58:00 PM,C,43.5
7/23/22, 2:00:00 PM,C,44
7/23/22, 2:02:00 PM,C,43.5
7/23/22, 2:04:00 PM,C,43
7/23/22, 2:06:00 PM,C,43.5
7/23/22, 2:08:00 PM,C,43.5
7/23/22, 2:10:00 PM,C,43.5
7/23/22, 2:12:00 PM,C,43.5
7/23/22, 2:14:00 PM,C,43.5
7/23/22, 2:16:00 PM,C,43
7/23/22, 2:18:00 PM,C,42.5
7/23/22, 2:20:00 PM,C,42.5
7/23/22, 2:22:00 PM,C,42
7/23/22, 2:24:00 PM,C,42
7/23/22, 2:26:00 PM,C,42
7/23/22, 2:28:00 PM,C,42
7/23/22, 2:30:00 PM,C,42.5
7/23/22, 2:32:00 PM,C,43
7/23/22, 2:34:00 PM,C,42.5
7/23/22, 2:36:00 PM,C,42.5
7/23/22, 2:38:00 PM,C,43
7/23/22, 2:40:00 PM,C,43
7/23/22, 2:42:00 PM,C,42.5
7/23/22, 2:44:00 PM,C,42
7/23/22, 2:46:00 PM,C,42
7/23/22, 2:48:00 PM,C,42.5
7/23/22, 2:50:00 PM,C,43
7/23/22, 2:52:00 PM,C,43
7/23/22, 2:54:00 PM,C,42.5
7/23/22, 2:56:00 PM,C,42.5
7/23/22, 2:58:00 PM,C,42
7/23/22, 3:00:00 PM,C,42
7/23/22, 3:02:00 PM,C,42.5
7/23/22, 3:04:00 PM,C,42.5
7/23/22, 3:06:00 PM,C,43
7/23/22, 3:08:00 PM,C,43
7/23/22, 3:10:00 PM,C,43
7/23/22, 3:12:00 PM,C,42
7/23/22, 3:14:00 PM,C,41.5
7/23/22, 3:16:00 PM,C,41.5
7/23/22, 3:18:00 PM,C,41.5
7/23/22, 3:20:00 PM,C,41.5
7/23/22, 3:22:00 PM,C,41.5
7/23/22, 3:24:00 PM,C,41.5
7/23/22, 3:26:00 PM,C,42
7/23/22, 3:28:00 PM,C,42
7/23/22, 3:30:00 PM,C,41.5
7/23/22, 3:32:00 PM,C,41.5
7/23/22, 3:34:00 PM,C,41
7/23/22, 3:36:00 PM,C,41
7/23/22, 3:38:00 PM,C,41
7/23/22, 3:40:00 PM,C,41
7/23/22, 3:42:00 PM,C,41
7/23/22, 3:44:00 PM,C,41
7/23/22, 3:46:00 PM,C,40.5
7/23/22, 3:48:00 PM,C,40.5
7/23/22, 3:50:00 PM,C,40
7/23/22, 3:52:00 PM,C,39.5
7/23/22, 3:54:00 PM,C,39
7/23/22, 3:56:00 PM,C,39
7/23/22, 3:58:00 PM,C,38.5
7/23/22, 4:00:00 PM,C,38
7/23/22, 4:02:00 PM,C,38
7/23/22, 4:04:00 PM,C,38
7/23/22, 4:06:00 PM,C,37.5
7/23/22, 4:08:00 PM,C,37.5
7/23/22, 4:10:00 PM,C,37
7/23/22, 4:12:00 PM,C,37
7/23/22, 4:14:00 PM,C,37
7/23/22, 4:16:00 PM,C,37
7/23/22, 4:18:00 PM,C,36.5
7/23/22, 4:20:00 PM,C,36.5
7/23/22, 4:22:00 PM,C,36
7/23/22, 4:24:00 PM,C,36
7/23/22, 4:26:00 PM,C,36
7/23/22, 4:28:00 PM,C,35.5
7/23/22, 4:30:00 PM,C,35
7/23/22, 4:32:00 PM,C,35
7/23/22, 4:34:00 PM,C,34.5
7/23/22, 4:36:00 PM,C,34.5
7/23/22, 4:38:00 PM,C,34.5
7/23/22, 4:40:00 PM,C,34.5
7/23/22, 4:42:00 PM,C,34
7/23/22, 4:44:00 PM,C,34
7/23/22, 4:46:00 PM,C,33.5
7/23/22, 4:48:00 PM,C,33.5
7/23/22, 4:50:00 PM,C,33.5
7/23/22, 4:52:00 PM,C,33
7/23/22, 4:54:00 PM,C,33
7/23/22, 4:56:00 PM,C,32.5
7/23/22, 4:58:00 PM,C,32.5
7/23/22, 5:00:00 PM,C,32.5
7/23/22, 5:02:00 PM,C,32
7/23/22, 5:04:00 PM,C,32
7/23/22, 5:06:00 PM,C,32
7/23/22, 5:08:00 PM,C,32
7/23/22, 5:10:00 PM,C,31.5
7/23/22, 5:12:00 PM,C,31.5
7/23/22, 5:14:00 PM,C,31.5
7/23/22, 5:16:00 PM,C,31
7/23/22, 5:18:00 PM,C,31
7/23/22, 5:20:00 PM,C,31
7/23/22, 5:22:00 PM,C,30.5
7/23/22, 5:24:00 PM,C,30.5
7/23/22, 5:26:00 PM,C,30.5
7/23/22, 5:28:00 PM,C,30
7/23/22, 5:30:00 PM,C,30
7/23/22, 5:32:00 PM,C,30
7/23/22, 5:34:00 PM,C,29.5
7/23/22, 5:36:00 PM,C,29.5
7/23/22, 5:38:00 PM,C,29.5
7/23/22, 5:40:00 PM,C,29.5
7/23/22, 5:42:00 PM,C,29
7/23/22, 5:44:00 PM,C,29
7/23/22, 5:46:00 PM,C,29
7/23/22, 5:48:00 PM,C,28.5
7/23/22, 5:50:00 PM,C,28.5
7/23/22, 5:52:00 PM,C,28.5
7/23/22, 5:54:00 PM,C,28.5
7/23/22, 5:56:00 PM,C,28
7/23/22, 5:58:00 PM,C,28
7/23/22, 6:00:00 PM,C,28
7/23/22, 6:02:00 PM,C,28
7/23/22, 6:04:00 PM,C,27.5
7/23/22, 6:06:00 PM,C,27.5
7/23/22, 6:08:00 PM,C,27.5
