Date,Time,D1Q13
7/29/22,10:14:00,18.5
7/29/22,10:16:00,18
7/29/22,10:18:00,17.5
7/29/22,10:20:00,17.5
7/29/22,10:22:00,17
7/29/22,10:24:00,17
7/29/22,10:26:00,17
7/29/22,10:28:00,17
7/29/22,10:30:00,17
7/29/22,10:32:00,17
7/29/22,10:34:00,17
7/29/22,10:36:00,17
7/29/22,10:38:00,16.5
7/29/22,10:40:00,16.5
7/29/22,10:42:00,16.5
7/29/22,10:44:00,16.5
7/29/22,10:46:00,16.5
7/29/22,10:48:00,16.5
7/29/22,10:50:00,16
7/29/22,10:52:00,16.5
7/29/22,10:54:00,16.5
7/29/22,10:56:00,16
7/29/22,10:58:00,17
7/29/22,11:00:00,18.5
7/29/22,11:02:00,19.5
7/29/22,11:04:00,20
7/29/22,11:06:00,20.5
7/29/22,11:08:00,20.5
7/29/22,11:10:00,21
7/29/22,11:12:00,21
7/29/22,11:14:00,21
7/29/22,11:16:00,21.5
7/29/22,11:18:00,21.5
7/29/22,11:20:00,21.5
7/29/22,11:22:00,21.5
7/29/22,11:24:00,21.5
7/29/22,11:26:00,22
7/29/22,11:28:00,22
7/29/22,11:30:00,22
7/29/22,11:32:00,22.5
7/29/22,11:34:00,22.5
7/29/22,11:36:00,22.5
7/29/22,11:38:00,23
7/29/22,11:40:00,23
7/29/22,11:42:00,23
7/29/22,11:44:00,23
7/29/22,11:46:00,23.5
7/29/22,11:48:00,23.5
7/29/22,11:50:00,23
7/29/22,11:52:00,23.5
7/29/22,11:54:00,23.5
7/29/22,11:56:00,29
7/29/22,11:58:00,31
7/29/22,12:00:00,32
7/29/22,12:02:00,32.5
7/29/22,12:04:00,32.5
7/29/22,12:06:00,32.5
7/29/22,12:08:00,32.5
7/29/22,12:10:00,32.5
7/29/22,12:12:00,32.5
7/29/22,12:14:00,32.5
7/29/22,12:16:00,32.5
7/29/22,12:18:00,32.5
7/29/22,12:20:00,32.5
7/29/22,12:22:00,32.5
7/29/22,12:24:00,32.5
7/29/22,12:26:00,32.5
7/29/22,12:28:00,32.5
7/29/22,12:30:00,32.5
7/29/22,12:32:00,32.5
7/29/22,12:34:00,32.5
7/29/22,12:36:00,32.5
7/29/22,12:38:00,32.5
7/29/22,12:40:00,33
7/29/22,12:42:00,33
7/29/22,12:44:00,33
7/29/22,12:46:00,33.5
7/29/22,12:48:00,33.5
7/29/22,12:50:00,33.5
7/29/22,12:52:00,33.5
7/29/22,12:54:00,33.5
7/29/22,12:56:00,33.5
7/29/22,12:58:00,33.5
7/29/22,1:00:00,33.5
7/29/22,1:02:00,33.5
7/29/22,1:04:00,33.5
7/29/22,1:06:00,33.5
7/29/22,1:08:00,33.5
7/29/22,1:10:00,33.5
7/29/22,1:12:00,33.5
7/29/22,1:14:00,33.5
7/29/22,1:16:00,33.5
