datetime,temperature,RH,HeatIndex,DewPoint,DataType,KestrelID,loggertype,elapsed_time
2022-07-24T09:00:00Z,29,17.7,26.3,2.1,point,2605751,Kestrel,0
2022-07-24T09:01:00Z,29.1,17.7,26.3,2.1,point,2605751,Kestrel,0.016666666666666666
2022-07-24T09:02:00Z,29.2,17.6,26.4,2.1,point,2605751,Kestrel,0.03333333333333333
2022-07-24T09:03:00Z,29.3,17.6,26.5,2.2,point,2605751,Kestrel,0.05
2022-07-24T09:04:00Z,29.4,17.6,26.6,2.3,point,2605751,Kestrel,0.06666666666666667
2022-07-24T09:05:00Z,29.5,17.6,26.7,2.4,point,2605751,Kestrel,0.08333333333333333
2022-07-24T09:06:00Z,29.5,17.6,26.9,2.4,point,2605751,Kestrel,0.1
2022-07-24T09:07:00Z,24,17.8,21.5,-2,point,2605751,Kestrel,0.11666666666666667
2022-07-24T09:08:00Z,26.5,34.9,25,9.8,point,2605751,Kestrel,0.13333333333333333
2022-07-24T09:09:00Z,26.6,49.7,26.3,15.2,point,2605751,Kestrel,0.15
2022-07-24T09:10:00Z,26.4,58.2,26.8,17.5,point,2605751,Kestrel,0.16666666666666666
2022-07-24T09:11:00Z,26,63.4,26.7,18.5,point,2605751,Kestrel,0.18333333333333332
2022-07-24T09:12:00Z,25.7,67,26.6,19.1,point,2605751,Kestrel,0.2
2022-07-24T09:13:00Z,23.9,69.7,24.3,18,point,2605751,Kestrel,0.21666666666666667
2022-07-24T09:14:00Z,24.8,77.3,25.9,20.6,point,2605751,Kestrel,0.23333333333333334
2022-07-24T09:15:00Z,24.8,81.7,26.1,21.4,point,2605751,Kestrel,0.25
2022-07-24T09:16:00Z,24.9,84.1,26.5,22,point,2605751,Kestrel,0.26666666666666666
2022-07-24T09:17:00Z,24.8,85.2,26.6,22.2,point,2605751,Kestrel,0.2833333333333333
2022-07-24T09:18:00Z,24.8,85.9,26.6,22.3,point,2605751,Kestrel,0.3
