Device Name,D2 - 2645012,,,,
Device Model,Kestrel DROP 2,,,,
Serial Number,2645012 0cm,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type
YYYY-MM-DD HH:MM:SS,Â°C,%,Â°C,Â°C,
7/31/22 1:26,7,87.3,6.9,5,point
7/31/22 1:27,6.8,87.2,6.7,4.8,point
7/31/22 1:28,6.7,87.1,6.6,4.7,point
7/31/22 1:29,6.6,87.1,6.6,4.6,point
7/31/22 1:30,6.8,87.2,6.8,4.9,point
7/31/22 1:31,6.7,87.2,6.6,4.7,point
7/31/22 1:32,6.7,87.2,6.6,4.7,point
7/31/22 1:33,6.6,87.2,6.6,4.7,point
7/31/22 1:34,6.7,87.2,6.6,4.7,point
7/31/22 1:35,6.6,87.3,6.6,4.7,point
7/31/22 1:36,6.7,87.4,6.6,4.7,point
7/31/22 1:37,6.6,87.5,6.6,4.7,point
7/31/22 1:38,6.7,87.5,6.7,4.8,point
7/31/22 1:39,6.5,87.5,6.5,4.6,point
7/31/22 1:40,6.7,87.4,6.7,4.8,point
7/31/22 1:41,6.5,87.3,6.4,4.5,point
7/31/22 1:42,6.6,87.1,6.5,4.6,point
7/31/22 1:43,6.6,87.1,6.6,4.6,point
7/31/22 1:44,6.6,87,6.6,4.6,point
7/31/22 1:45,6.5,87.1,6.4,4.5,point
7/31/22 1:46,6.6,87.1,6.5,4.6,point
7/31/22 1:47,6.6,87.2,6.5,4.6,point
7/31/22 1:48,6.4,87.1,6.3,4.4,point
7/31/22 1:49,6.6,87.1,6.6,4.6,point
7/31/22 1:50,6.4,87.1,6.3,4.4,point
7/31/22 1:51,6.4,87,6.3,4.4,point
7/31/22 1:52,6.4,86.8,6.3,4.4,point
7/31/22 1:53,6.4,86.7,6.4,4.4,point
7/31/22 1:54,6.4,86.7,6.3,4.3,point
7/31/22 1:55,6.4,86.7,6.3,4.3,point
7/31/22 1:56,6.3,86.7,6.3,4.3,point
7/31/22 1:57,6.3,86.8,6.2,4.2,point
7/31/22 1:58,6.3,87,6.2,4.3,point
7/31/22 1:59,6.3,87.1,6.3,4.4,point
7/31/22 2:00,6.2,87.1,6.2,4.2,point
7/31/22 2:02,6.2,87.1,6.1,4.2,point
7/31/22 2:04,6.2,87.2,6.2,4.3,point
7/31/22 2:06,6.1,87.1,6.1,4.2,point
7/31/22 2:09,6.1,87,6,4.1,point
7/31/22 2:11,6,86.8,6,4,point
7/31/22 2:13,6,86.6,5.9,3.9,point
7/31/22 2:16,6,86.4,5.9,3.9,point
7/31/22 2:18,6,86.9,5.9,3.9,point
7/31/22 2:20,5.9,86.8,5.9,3.9,point
7/31/22 2:23,5.8,86.4,5.7,3.7,point
7/31/22 2:25,6,86.2,5.9,3.9,point
7/31/22 2:27,5.8,87,5.7,3.8,point
7/31/22 2:30,5.8,86.9,5.7,3.8,point
7/31/22 2:32,5.8,86.5,5.7,3.7,point
7/31/22 2:34,5.6,86.2,5.6,3.5,point
7/31/22 2:37,5.5,86.1,5.5,3.4,point
7/31/22 2:39,5.5,85.9,5.5,3.4,point
7/31/22 2:41,5.5,85.8,5.5,3.3,point
7/31/22 2:44,5.6,85.6,5.5,3.3,point
7/31/22 2:46,5.6,85.7,5.6,3.4,point
7/31/22 2:48,5.4,85.7,5.4,3.2,point
7/31/22 2:51,5.4,85.9,5.3,3.2,point
7/31/22 2:53,5.4,86.2,5.4,3.3,point
7/31/22 2:55,5.4,86.1,5.4,3.3,point
7/31/22 2:58,5.4,85.6,5.4,3.2,point
7/31/22 3:00,5.3,85.4,5.3,3.1,point
7/31/22 3:02,5.3,85.4,5.3,3.1,point
7/31/22 3:05,5.2,85.3,5.2,3,point
7/31/22 3:07,5.2,85.4,5.2,3,point
7/31/22 3:09,5.3,85.1,5.3,3,point
7/31/22 3:12,5,85.2,5,2.7,point
7/31/22 3:14,5,85.6,5,2.8,point
7/31/22 3:16,5,85.6,4.9,2.8,point
7/31/22 3:19,5.1,85.5,5.1,2.9,point
7/31/22 3:21,4.8,85.2,4.8,2.6,point
7/31/22 3:23,4.9,85,4.9,2.6,point
7/31/22 3:26,4.8,84.8,4.8,2.5,point
7/31/22 3:28,4.8,84.7,4.8,2.5,point
7/31/22 3:30,4.8,84.8,4.8,2.5,point
7/31/22 3:49,4.5,85.2,4.4,2.2,point
7/31/22 3:50,4.5,85.1,4.5,2.2,point
7/31/22 3:51,4.4,85.1,4.4,2.1,point
7/31/22 3:52,4.5,85,4.4,2.2,point
7/31/22 3:53,4.4,85,4.3,2.1,point
7/31/22 3:54,4.3,85,4.3,2,point
7/31/22 3:55,4.5,85,4.4,2.2,point
7/31/22 3:56,4.4,85,4.3,2.1,point
7/31/22 3:57,4.3,84.9,4.3,2,point
7/31/22 3:58,4.3,84.9,4.2,2,point
7/31/22 3:59,4.3,84.9,4.2,2,point
7/31/22 4:00,4.3,84.9,4.2,2,point
7/31/22 4:01,4.4,84.9,4.3,2.1,point
7/31/22 4:02,4.3,84.9,4.2,2,point
7/31/22 4:03,4.3,84.9,4.3,2,point
7/31/22 4:04,4.4,85,4.4,2.1,point
7/31/22 4:05,4.1,85.2,4.1,1.9,point
7/31/22 4:06,4.4,85.3,4.4,2.2,point
7/31/22 4:07,4.2,85.4,4.2,2,point
7/31/22 4:08,4.3,85.4,4.2,2,point
7/31/22 4:09,4.2,85.5,4.1,2,point
7/31/22 4:10,4.2,85.5,4.1,1.9,point
7/31/22 4:11,4.2,85.3,4.1,1.9,point
7/31/22 4:12,4.1,85.3,4.1,1.9,point
7/31/22 4:13,4.1,85.3,4,1.9,point
7/31/22 4:14,4,85.3,4,1.8,point
7/31/22 4:15,4,85.3,4,1.8,point
7/31/22 4:16,4.1,85.3,4,1.8,point
7/31/22 4:17,4,85.2,3.9,1.7,point
7/31/22 4:18,4,85.1,3.9,1.7,point
7/31/22 4:19,4,85,4,1.8,point
7/31/22 4:20,4,85,4,1.7,point
7/31/22 4:21,4,85,4,1.7,point
7/31/22 4:22,4.1,85,4,1.8,point
7/31/22 4:23,4,85,3.9,1.7,point
7/31/22 4:24,3.9,84.9,3.9,1.6,point
7/31/22 4:25,4,84.9,3.9,1.7,point
7/31/22 4:26,4.1,85.1,4.1,1.8,point
7/31/22 4:27,3.8,85.2,3.8,1.6,point
7/31/22 4:28,4.1,85.1,4.1,1.9,point
7/31/22 4:29,4.2,85.1,4.1,1.9,point
7/31/22 4:30,3.9,85,3.9,1.6,point
7/31/22 4:31,3.8,85.4,3.8,1.6,point
7/31/22 4:32,3.9,85.5,3.9,1.7,point
7/31/22 4:33,3.8,85.4,3.8,1.6,point
7/31/22 4:34,3.8,85.5,3.8,1.6,point
7/31/22 4:35,3.8,85.5,3.7,1.6,point
7/31/22 4:36,3.9,85.6,3.9,1.7,point
7/31/22 4:37,3.8,85.5,3.7,1.5,point
7/31/22 4:38,3.7,85.4,3.7,1.5,point
7/31/22 4:39,3.7,85.3,3.6,1.4,point
